Author,Year,Journal,Title,Abstract,Sustainable,Groundwater,Policy,Modeling,Surfacewater,Ecosystem,HumanActivities,Uncertainty,Participation,Coast
Masoud et al.,2011,Environmental Earth Sciences,"spatio temporal characterization of the pliocene aquifer conditions in wadi el natrun area, egypt","wadi el natrun area has recently undergone extensive urban and agricultural expansion. due to the absence of natural surface irrigation supplies, the only source of water in the area is the pliocene groundwater aquifer. as a result, secondary salinization from increased abstractions is the major threat to the groundwater aquifer. there is a dire need for efficient strategies to ensure long term sustainability of the area's productive agriculture. these strategies should be based on scientific spatio temporal monitoring and analysis of the groundwater conditions that is also lacking. to capture the spatio temporal variability in groundwater conditions, field measurements of total dissolved solids, electrical conductivity, ph, temperature, and water level as well as lab based ionic composition were performed on 47 groundwater samples collected during 2006 and 2007. determinations of the hydrochemical characteristics, water types, salt assemblages, and the sodium adsorption ratio were carried out on the samples. reference data sets recorded in 1973 and 1997 were available for the area and were used to monitor the changes occurred in these periods. geographic information system (gis) was appraised for mapping and for integrated analysis of the different layers. remotely sensed change detection techniques were applied to the landsat tm and the etm + imageries and used to highlight the extensive reclamation and urbanization and to find key trends for the alterations in the groundwater conditions and their spatial association with land covers. results revealed a topographic depression induced flow pattern, predominance of leaching and dissolution processes, the presence of saline lakes, over pumping from the pliocene aquifer, and temporal changes in landuses are the main factors combined to control the spatio temporal variability in the groundwater. results also clarified the presence of two: northwestern and southeastern zones that varied distinctively in their hydrodynamic and hydrochemical characteristics. the northwestern zone showed an average water level decline of 15 m, the water of which is brackish (av. 2,037 mg/l) with dominant na(+), cl( ) and so(4) (2 ) ions. the groundwater of this zone is characterized by high to very high salinity hazard and high to very high alkali hazard and is not recommended for irrigation on soils with poor drainage and without proper management for salinity control. the southeastern zone showed water level decline less than 2 m, the water of which is fresh (av. 424 mg/l) with major na(+), hco(3) ( ), cl( ), and so(4) (2 ) ions, and quality suitable for irrigation with medium to high salinity and low to medium alkali hazards. the article represents the first step towards an integrated management of wadi el natrun groundwater resources within a gis framework.",1,1,0,0,0,0,0,0,0,1
Sedki et al.,2011,Water Resources Management,simulation optimization modeling for sustainable groundwater development: a moroccan coastal aquifer case study,"a transient simulation model characterizing groundwater flow in the coastal aquifer of rhis nekor was constructed and calibrated. the flow model was then used in conjunction with a genetic algorithm based optimization model to explore the optimal pumping schemes that meet current and future water demands while minimizing the risks for several adverse environmental impacts, such as saltwater intrusion prevention, avoiding excessive drawdown, as well as controlling waterlogging and salinity problems. modeling results demonstrate the importance of this combined simulation optimization methodology for solving groundwater management problems associated with the rhis nekor plain.",1,1,0,1,0,0,0,0,0,1
Lamban et al.,2011,Environmental Earth Sciences,application of groundwater sustainability indicators to the carbonate aquifer of the sierra de becerrero (southern spain),"the objective of this study was to test the applicability of groundwater sustainability indicators defined by unesco, together with the international academy of environmental sciences (iaes), the international association of hydrogeology (iah) group on groundwater indicators and the geological survey of spain (igme), to the aquifer scale. we selected four main indicators based on their relevance in the field of groundwater sustainability and because they proved to be the most reliable, based on the data collection and methodology utilized. these indicators were applied to a small 26 km(2) of permeable outcrops carbonate aquifer situated in the province of seville (southern spain), which has semi arid climate conditions (500 mm/year). the integral application of all these indicators in this particular groundwater body leads us to conclude that, at present, the aquifer is undergoing intensive use. therefore, the exploitation of its water resources is surpassing the threshold of sustainability when both the quantity and the quality of the groundwater are taken into consideration. the continued increase in exploitation generates a descending trend in the evolution of the piezometric levels, a consequence of adaptation to the new hydrodynamic situation, and also results in exhaustion of the springs that drain the aquifer in undisturbed conditions. at the same time, there is a trend of increasing salinity in the groundwater and a risk of contamination by nitrate which, according to the eu water framework directive and the groundwater daughter directive (eu official journal of the european communities l327, 2000; eu official journal of the european communities l372/19, 2006), should be controlled and reduced. in the future, application of the methodology described here may prove useful for the evaluation of similar systems, either in southern spain or in other countries with semi arid climates.",1,1,1,0,0,0,0,0,0,1
Alqadi et al.,2011,Journal of Food Agriculture & Environment,water issues in the kingdom of jordan: a brief review with reasons for declining quality,"this paper examines the problems of water shortage and quality issues in the kingdom of jordan. demand for water has led to a decimation of groundwater supplies and a significant rise in salinity. this rise in salinity can be traced to increasing saline base flows, the reduction in natural flows, changing extent of agriculture, agricultural practices, contamination of irrigation systems with saline inflow and poor infrastructural planning. water security in jordan is a very serious issue due to the rapid increase in population growth. jordan is faced with the need to tighten regulations in water treatment, address the issue of domestic supply losses and illegal drawdown of groundwater in the short term to gain significant inroads into the water problem. however, in the longer term, there is a need for a review of current infrastructure and its functionality, changing agricultural practice and finding sustainable sources of water.",1,1,0,0,0,0,0,0,0,1
Hagedorn et al.,2011,Journal of Hydrology,"estimating recharge in fractured aquifers of a temperate humid to semiarid volcanic island (jeju, korea) from watertable fluctuations, and cl, cfc 12 and h 3 chemistry","groundwatertable fluctuations (wtf), chloride mass balance (cmb), apparent groundwater chlorofluorocarbon (cfc 12) ages and tritium (h 3) mean residence times were used to assess recharge rates on jeju island (korea), where groundwater is the main source of potable water. given the limitations of various techniques and the respective data, the methods yield median values of 687 mm/yr (wtf), 429 mm/yr (cmb), 423 mm/yr (cfc 12) and 394 mm/yr (h 3), which are lower than the multi annual (1993 2002) average value calculated using the soil waterbudget (swb) method (911 mm/yr). these underestimates are mainly due to most groundwater samples used for the analyses being located in the more arid low land areas of the island. all methods yield highest recharge rates in the southern and eastern districts of jeju implying a strong control of rainfall on the spatial recharge distribution. the spatial variability of recharge at the catchment scale is caused by spatially and temporally variable rainfall and evapotranspiration as well as the wide range in effective porosity and specific yield values of the aquifer lithologies. the wtf method yields reliable results in the coastal regions where low hydraulic gradients prevail. the cmb technique underestimates the recharge values of the swb in all geographic districts probably as a result of anthropogenic cl additions to groundwater and unaccounted for atmospheric cl dry deposition. median recharge estimates from the cfc 12 and h 3 data show the lowest spatial correlation with those from the swb mainly as a result of vertical anisotropies and uncertainties in the determination of effective aquifer thicknesses particularly in the perched, high level areas. the here applied methods are useful for local calibration and validation of swb estimates in lower parabasal regions where thin unsaturated zones prevail; however, due to their inability to predict recharge in the more remote upslope areas from which, as of yet, no groundwater data could be obtained, they cannot be applied to predict average recharge values representative for the whole island. (c) 2011 elsevier b.v. all rights reserved.",1,1,0,0,0,0,0,1,0,1
Zarroca et al.,2011,Journal of Hydrology,"electrical methods (ves and ert) for identifying, mapping and monitoring different saline domains in a coastal plain region (alt emporda, northern spain)","the spatial variability through time of the degree of salinity of soils and groundwater is a major issue concerning the sustainable management of water resources. the problem is accentuated in coastal plain areas where saline bodies of different origin coexist. we present an extensive geoelectrical resistivity dataset collected in the alt emporda clastic coastal aquifer system (ne spain) integrating the results of field campaigns undertaken within a period of more than two decades. the dataset is unique in the literature and comprises highly valuable information for the investigation of saline domains. the joint application of vertical electrical sounding (ves) and electrical resistivity tomography (ert) methods allowed the identification of saline domains and monitoring their evolution through time. geophysical data gathered during field campaigns in 1982, 2002 and 2010 were calibrated and interpreted on the basis of soil and groundwater physico chemical analyses and hydrogeological, stratigraphic and geomorphological data. the results illustrate the potential of electrical resistivity methods at differentiating saline domains in coastal aquifer areas and at modelling their configuration and evolution. although the ves data processing allows solving the one dimensional resistivity structure of the subsurface, the inversion imposes a 1d layered model, thus interpretation of two dimensional structures is subject to the interpolation between discrete measures. in contrast, ert data offer a continuous 2d image of the resistivity distribution, both laterally and in depth. given that the bulk resistivity of the medium is extremely sensitive to salt content, the ert profiles permitted identifying and determining the geometry of hyper saline areas (characterized by resistivities of less than 5 omega m). the study demonstrates the efficiency of the electrical methods to map subsurface conductive zones and illustrates how the accurate knowledge of the hydrogeological pattern results critical to meet this objective. (c) 2011 elsevier b.v. all rights reserved.",1,1,0,1,0,0,0,0,0,1
Archer et al.,2010,Hydrology and Earth System Sciences,sustainability of water resources management in the indus basin under changing climatic and socio economic conditions,"pakistan is highly dependent on water resources originating in the mountain sources of the upper indus for irrigated agriculture which is the mainstay of its economy. hence any change in available resources through climate change or socio economic factors could have a serious impact on food security and the environment. in terms of both ratio of withdrawals to runoff and per capita water availability, pakistan's water resources are already highly stressed and will become increasingly so with projected population changes. potential changes to supply through declining reservoir storage, the impact of waterlogging and salinity or over abstraction of groundwater, or reallocations for environmental remediation of the indus delta or to meet domestic demands, will reduce water availability for irrigation. the impact of climate change on resources in the upper indus is considered in terms of three hydrological regimes   a nival regime dependent on melting of winter snow, a glacial regime, and a rainfall regime dependent on concurrent rainfall. on the basis of historic trends in climate, most notably the decline in summer temperatures, there is no strong evidence in favour of marked reductions in water resources from any of the three regimes. evidence for changes in trans himalayan glacier mass balance is mixed. sustainability of water resources appears more threatened by socio economic changes than by climatic trends. nevertheless, analysis and the understanding of the linkage of climate, glaciology and runoff is still far from complete; recent past climate experience may not provide a reliable guide to the future.",1,1,0,0,0,0,1,0,0,1
Askri et al.,2010,Journal of Hydrology,development and application of a conceptual hydrologic model to predict soil salinity within modern tunisian oases,"in modern oases situated in the south of tunisia, secondary salination of irrigated lands is a crucial problem. the visible salt deposits and soil salination processes are the consequence of several factors including the excessive use of saline irrigation water, seepage from earthen canal systems, inefficient irrigation practices and inadequate drainage. understanding the mechanism of the secondary salination is of interest in order to maintain existing oases, and thus ensure the sustainability of date production in this part of the country. therefore, a conceptual, daily, semi distributed hydrologic model (oasis mod) was developed to analyse the impact of irrigation management on the watertable fluctuation, soil salinity and drain discharge, and to evaluate measures to control salinity within an oasis ecosystem. the basic processes incorporated in the model are irrigation, infiltration, percolation to the shallow groundwater, soil evaporation, crop transpiration, groundwater flow, capillary rise flux, and drain discharge. oasis mod was tested with data collected in a parcel of farmland situated in the segdoud oasis, in the south west of tunisia. the calibration results showed that groundwater levels were simulated with acceptable accuracy, since the differences between the simulated and measured values are less than 0.22 in. however, the model under predicted some watertable peaks when irrigation occurs due to inconsistencies in the irrigation water data. the validation results showed that deviations between observed and simulated groundwater levels have increased to about 0.5 m due to under estimation of groundwater inflow from an upstream palm plantation. a long term simulation scenario revealed that the soil salinity and groundwater level have three types of variability in time: a daily variability due to irrigation practices, seasonal fluctuation due to climatic conditions and annual variability explained by the increase in cultivated areas. the irrigation interval was found to be important with irrigating once each ten days leading to soil salinity increase during the dry summer season and to a rising watertable during the autumn winter period. the annual increase in the irrigated area caused a decrease of the irrigation water depths, and thus an augmentation of the soil and groundwater salinities. the surface area affected by a soil salinity concentration above 15 g/l has increased from 2% of the study parcel area in june 1992 to about 50% four years later due to the abandonment of several cultivated basins. (c) 2009 elsevier b.v. all rights reserved.",1,1,0,1,0,1,0,0,0,1
Liou et al.,2010,Environmental Earth Sciences,"alternative water resources in granitic rock: a case study from kinmen island, taiwan","kinmen island is a small, tectonically stable, granitic island that has been suffering from a scarcity of fresh water resources due to excessive annual evapotranspiration over annual precipitation. recent studies further indicate that shallow (0 70 m) sedimentary aquifers, the major sources of groundwater supply, have already been over exploited. therefore, this preliminary study is to investigate the existence of exploitable water resources that can balance the shortage of fresh water on this island. site characterization data are obtained from island wide geophysical surveys as well as small scale tests performed in a study area formed by three deep (maximum depth to 560 m) vertical boreholes installed in mid east kinmen northeast to taiwu mountain. vertical fracture frequency data indicate that the rock body is fractured with a spatially correlated pattern, from which three major fracture zones (depths 0 70, 330 360, and below 450 m) can be identified. geologic investigations indicate that the deepest fracture zone is caused by the large scale, steeply dipping taiwushan fault. this fault may have caused a laterally extensive low resistivity zone, a potential fractured aquifer, near taiwu mountain. the middle fracture zone is induced by the taiwushan fault and intersects the fault approximately 21 m southeast of the study area below a depth of 350 m. slug testing results yield fracture transmissivity varying from 4.8 x 10( 7) to 2.2 x 10( 4) m(2)/s. cross hole tests have confirmed that hydraulic connectivity of the deeper rock body is controlled by the taiwushan fault and the middle fracture zone. this connectivity may extend vertically to the sedimentary aquifers through high angle joint sets. despite the presence of a flow barrier formed by doleritic dike at about 300 m depth, the existence of fresh as well as meteoric water in the deeper rock body manifests that certain flow paths must exist through which the deeper fractured aquifers can be connected to the upper rock body. therefore, groundwater stored within the taiwushan fault and the associated low resistivity zone can be considered as additional fresh water resources for future exploitation.",1,1,0,0,0,0,0,0,0,1
White et al.,2010,Hydrogeology Journal,management of freshwater lenses on small pacific islands,"the nature of shallow aquifers and the impacts of seawater intrusion in small islands within the pacific ocean are reviewed. many pacific islands rely on shallow fresh groundwater lenses in highly permeable aquifers, underlain and surrounded by seawater, as their principal freshwater source. it is argued here that, in small islands, the nature of fresh groundwater lenses and their host aquifers coupled with frequent natural and ever present anthropogenic threats make them some of the most vulnerable aquifer systems in the world. a simple steady state approximation is used to provide insight into the key climatic, hydrogeological, physiographic, and management factors that influence the quantity of, and saline intrusion into freshwater lenses. examples of the dynamic nature of freshwater lenses as they respond to these drivers are given. natural and human related threats to freshwater lenses are discussed. long dry periods strongly coupled to sea surface temperatures impact on the quantity and salinity of fresh groundwater. the vulnerability of small island freshwater lenses dictates careful assessment, vigilant monitoring, appropriate development, and astute management. strategies to aid future groundwater sustainability in small islands are presented and suggested improvements to donor and aid programs in water are also advanced.",1,1,0,0,0,0,0,0,0,1
Mair et al.,2010,Journal of Hydrology,influence of groundwater pumping and rainfall spatio temporal variation on streamflow,"groundwater pumping and surfacewater management structures, i.e. dams and water flow diversions, have been raising serious concerns about the declines in groundwater levels and streamflow in different watersheds throughout the world. small island watersheds with complex landuse, and strong spatio temporal climate and edaphic variability (e.g. hawaiian watersheds) offer an ideal environment to help improve our understanding of groundwater surfacewater interaction and the hydrological processes it involves. in this study, we investigate the spatio temporal relationships between streamflow, rainfall, and groundwater using long term (>40 years) data records from a small hawaiian watershed. a suite of mann kendall tests were used to evaluate trends and shifts in time series data. the impact of groundwater pumping in the valley on streamflow was also investigated; multiple linear regression analysis was used to quantify the effect of pumping on streamflow. stream base flow and total flow have declined significantly since 1960, while rainfall showed no statistically significant trends since the 1960s. groundwater pumping has significantly increased since 1960, and our findings indicate it is a significant contributing factor to streamflow decline. watershed yield experienced two successive downward shifts: first around 1971 1972 and then again around 1991 1992. the first downward shift appears to be related to the pumping of groundwater from the mid valley area which began in 1968. the second downward shift is the result of pumping in the upper valley, which began in 1991. regression models and double mass curve analyses indicate that pumping may have captured significant amounts of groundwater that otherwise would have comprised stream base flow. streamflow has been reduced by 19 22% since 1971 and as much as 36% since 1991. (c) 2010 elsevier b.v. all rights reserved.",1,1,0,1,1,0,0,0,0,1
Stuart et al.,2010,Applied Geochemistry,groundwater residence time and movement in the maltese islands   a geochemical approach,"the maltese islands are composed of two limestone aquifers, the upper and lower coralline limestone separated by an aquitard, the 'blue clay'. the lower coralline limestone is overlain in part by the poorly permeable globigerina limestone. the upper perched aquifers are discontinuous and have very limited saturated thickness and a short water level response time to rainfall. frequent detections of coliforms suggest a rapid route to groundwater. however, the unsaturated zone has a considerable thickness in places and the primary porosity of the upper coralline limestone is high, so there is likely to be older recharge by slow matrix flow as well as rapid recharge from fractures. measurement of sf(6) from a pumping station in a deep part of one of the perched aquifers indicated a mean saturated zone age of about 15 a. the main sea level aquifers (msl) on both malta and gozo have a large unsaturated thickness as water levels are close to sea level. on malta, parts of the aquifer are capped by the perched aquifers and more extensively by the globigerina limestone. the limited detection of coliform bacteria suggests only some rapid recharge from the surface via fractures or karst features. transmissivity is low and (3)h and cfc/sf(6) data indicate that saturated zone travel times are in the range 15 40 a. on gozo the aquifer is similar but is more extensively capped by impermeable blue clay. cfc data show the saturated zone travel time is from 25 a to possibly more than 60 a. groundwater age is clearly related to the extent of low permeability cover. the delta(13)c signature of groundwater is related to the geochemical processes which occur along the flowpath and is consistent with residence time ages in the sequence; perched aquifers < malta msl < gozo msl the (18)o and (2)h enriched isotopic signature of post 1983 desalinated water can be seen in more modern groundwater, particularly the urbanized areas of the perched and malta msl aquifers. in all aquifers, movement of solutes from the surface travelling slowly through the matrix provide a long term source of groundwater contaminants such as no(3). (c) 2010 nerc published by elsevier ltd. all rights reserved.",1,1,0,0,0,0,0,0,0,1
Praveena et al.,2010,International Journal of Environmental Science and Technology,groundwater resources assessment using numerical model: a case study in low lying coastal area,"the impacts of climate change and human pressure in groundwater have been greatest threats facing small islands. this paper represents a case study of groundwater responses towards the climate change and human pressures in manukan island malaysia. seawat 2000 was used for the simulations of groundwater response in study area. simulations of six scenarios representing climate change and human pressures showed changes in hydraulic heads and chloride concentrations. reduction in pumping rate and an increase in recharge rate can alter the bad effects of overdrafts in manukan island. in general, reduction in pumping rate and an increase in recharge rate are capable to restore and protect the groundwater resources in manukan island. thus, for groundwater management options in manukan island, scenario 2 is capable to lessen the seawater intrusion into the aquifer and sustain water resources on a long term basis. the selection of scenario 6 is the preeminent option during wet season. the output of this study provides a foundation which can be used in other small islands of similar hydrogeological condition for the purpose of groundwater resources protection.",1,1,0,1,0,0,0,0,0,1
Scanlon et al.,2010,Water Resources Research,"effects of irrigated agroecosystems: 2. quality of soil water and groundwater in the southern high plains, texas","trade offs between water resource depletion and salinization need to be understood when promoting water conservative irrigation practices. this companion paper assesses impacts of groundwater fed irrigation on soil water and groundwater quality using data from the southern high plains (shp). unsaturated zone soil samples from 13 boreholes beneath irrigated agroecosystems were analyzed for water extractable anions. salt accumulation in soils varies with irrigation water quality, which ranges from low salinity in the north (median cl: 21 mg/l) to higher salinity in the south (median cl: 180 mg/l). large cl bulges under irrigated agroecosystems in the south are similar to those under natural ecosystems, but they accumulated over decades rather than millennia typical of natural ecosystems. profile peak cl concentrations (1200 6400 mg/l) correspond to irrigation efficiencies of 92 98% with respect to drainage and are attributed to deficit irrigation with minimal flushing. perchlorate (clo(4)) also accumulates under irrigated agroecosystems, primarily from irrigation water, and behaves similarly to cl. most no(3) n accumulation is below the root zone. groundwater total dissolved solids (tds) have increased by <= 960 mg/l and no(3) nby <= 9.4 mg/l since the early 1960s. mobilization of salts that have accumulated under irrigated agroecosystems is projected to degrade groundwater much more in the future because of the essentially closed basin status of the aquifer, with discharge occurring primarily through irrigation pumpage. tds are projected to increase by an additional 2200 mg/l (median), clo(4) by 21 mu g/l, and no(3) n by 52 mg/l. water and salt balances should be considered in irrigation management in order to minimize salinization issues.",1,1,0,0,0,1,0,0,0,1
Mohanty et al.,2010,Water Resources Management,artificial neural network modeling for groundwater level forecasting in a river island of eastern india,"forecasting of groundwater levels is very useful for planning integrated management of groundwater and surfacewater resources in a basin. in the present study, artificial neural network models have been developed for groundwater level forecasting in a river island of tropical humid region, eastern india. ann modeling was carried out to predict groundwater levels 1 week ahead at 18 sites over the study area. the inputs to the ann models consisted of weekly rainfall, pan evaporation, river stage, water level in the drain, pumping rate and groundwater level in the previous week, which led to 40 input nodes and 18 output nodes. three different ann training algorithms, viz., gradient descent with momentum and adaptive learning rate backpropagation (gdx) algorithm, levenberg marquardt (lm) algorithm and bayesian regularization (br) algorithm were employed and their performance was evaluated. as the neural network became very large with 40 input nodes and 18 output nodes, the lm and br algorithms took too much time to complete a single iteration. consequently, the study area was divided into three clusters and the performance evaluation of the three ann training algorithms was done separately for all the clusters. the performance of all the three ann training algorithms in predicting groundwater levels over the study area was found to be almost equally good. however, the performance of the br algorithm was found slightly superior to that of the gdx and lm algorithms. the ann model trained with br algorithm was further used for predicting groundwater levels 2, 3 and 4 weeks ahead in the tubewells of one cluster using the same inputs. it was found that though the accuracy of predicted groundwater levels generally decreases with an increase in the lead time, the predicted groundwater levels are reasonable for the larger lead times as well.",1,1,0,1,1,0,0,0,0,1
Praveena et al.,2010,International Journal of Environmental Research,modeling for equitable groundwater management,freshwater lens on small islands may easily be overexploited or polluted due to overdrafts of fresh water by pumping which causes drawdown of the watertable a rise or up coning of the saltwater interface. present study is concerned with using a three dimensional finite difference numerical model to simulate the groundwater flow and transport model to predict the behavior of groundwater system in manukan island. the simulations were done using variable density seawat 2000 for three selected pumping schemes. hydraulic heads (groundwater level) is the highest at the center of the island and decreases in radial shape towards the coast in all the pumping schemes (ps1 ps3). the chloride concentration in the studied aquifer increased by 98.7% in the pumping well if the pumping rate is doubled by the current (ps2 to ps3). the 1.4% seawater freshwater mixing moves further forward to inland about 1.6m when the current pumping rate was doubled whereas moves backward to sea about 1.7m if the current pumping rate is reduced by 50%. this preliminary model of manukan island aquifer shows that an overexploitation of groundwater in manukan island contributes to the seawater intrusion. adjusting the future groundwater pumping scheme and improving groundwater management strategies are necessary to protect the freshwater aquifers. the current numerical model is a reasonable representation of the aquifer in small island which can be used in similar small islands with similar hydrogeological conditions in elsewhere.,1,1,0,1,0,0,0,0,0,1
Currell et al.,2010,Journal of Hydrology,"recharge history and controls on groundwater quality in the yuncheng basin, north china","environmental isotopes and water quality indicators (e.g. tds and no(3) contents) were used to characterize the age, recharge history and controls on the quality of groundwater resources in the yuncheng basin, north china, where extensive extraction occurs for agriculture and domestic supply. delta(18)o and delta(2)h values as low as  10.6%. and  73 parts per thousand, respectively, together with low radiocarbon activities (<20 pmc) show that deep groundwater comprises palaeowaters largely recharged in the late pleistocene (similar to 10 to 22 ka b.p.) under a cooler climate than the present. shallow groundwater has higher radiocarbon activities (>70 pmc), indicating a significant component of modern (post 1950s) recharge. the shallow groundwater has higher delta(18)o and delta(2)h values (up to  8.1%. and  54 parts per thousand) that are similar to those in modern summer monsoon rainfall, indicating that current recharge is via direct infiltration and/or leakage of ephemeral streams during heavy rain events. historic recharge rates estimated using radiocarbon ages are between 1 and 10 mm/year, corresponding to <2% of local rainfall, which is lower than estimates of modern recharge nearby based on tritium data. the relationship between groundwater delta(18)o values and (14)c ages is similar to that observed in groundwater from other basins in northern china, confirming that much deep groundwater in the region is palaeowater, and suggesting that a broad scale assessment of groundwater residence times may be made from delta(18)o and delta(2)h values. most deep groundwater has low tds and nitrate concentrations (median 1090 mg/l and 1.8 mg/l, respectively), while shallow groundwater has tds contents of up to 8450 mg/l (median 2010 mg/l) and no(3) concentrations up to 630 mg/l (median 31 mg/l). a lack of enrichment in delta(18)o values in the high salinity shallow groundwater indicates that transpiration by crops and possibly minor mineral dissolution are the major salinisation processes, rather than evaporation or leakage from salt lakes. the majority of nitrate in groundwater has delta(15)n (no3) values between 0.8 parts per thousand and 5.0 parts per thousand and delta(18)o(no3) values between 1.8 parts per thousand and 4.1 parts per thousand, indicating that synthetic fertilizers are the main source of elevated no(3) concentrations. increasing residence times from east to west in deep groundwaters reflect the historic regional flow pattern in the basin. however, present day flow is now dictated by a large cone of depression that has formed due to intensive deep groundwater pumping since the 1980s. high downward vertical hydraulic gradients (up to 0.45) have also developed as a result of this pumping, promoting downwards leakage of shallow water, indicated by high nitrate concentrations (>20 mg/l) in some deep wells (>180 m). preferential leakage has occurred near the linyi fault, in the northern sushui river basin. salinisation, nitrate contamination and excessive drawdown of deep groundwater are major concerns for the future of the groundwater resources in this region. (c) 2010 elsevier b.v. all rights reserved.",1,1,0,0,0,0,0,0,0,1
Hollander et al.,2009,Physics and Chemistry of the Earth,a concept for managed aquifer recharge using asr wells for sustainable use of groundwater resources in an alluvial coastal aquifer in eastern india,"groundwater resources in coastal plains area are coming under increasing threat due to over extraction and unsustainable agricultural practices. sustainable water resource management in these areas can potentially be facilitated through the use of a novel concept in groundwater management. this concept involves matching supply and demand for irrigation water by managing excess monsoon season runoff and making it available for managed aquifer recharge (mar), thereby allowing potentially greater extractions during the dry season. this includes the deliberate lowering of the groundwatertable during the dry season, resulting in more storage capacity for mar. in a case study the excess water was calculated and a field layout including asr wells and canals was developed. this groundwater management concept shows an additional potential infiltration of nearly 220 mm/a could be developed but field experiments showed problems which may be related to clogging of the injection wells. additional enhancement of the natural recharge allows providing enough groundwater to grow a second crop during a year throughout nearly the whole area. (c) 2008 published by elsevier ltd.",1,1,0,1,0,0,0,0,0,1
Rejani et al.,2009,Water Resources Management,"simulation optimization modelling for sustainable groundwater management in a coastal basin of orissa, india","the balasore coastal groundwater basin of orissa in eastern india is under a serious threat of overdraft and seawater intrusion. two optimization models were developed in this study for the efficient utilization of water resources in balasore basin during non monsoon periods: (a) a non linear hydraulic management model for optimal pumpage, and (b) a linear optimization model for optimal cropping pattern in integration with a calibrated and validated groundwater flow simulation model. based on the simulation optimization modeling results, optimal pumping schedules, cropping patterns, and corresponding groundwater conditions are presented for three scenarios viz., wet, normal and dry years. it was found that optimal pumping schedules and corresponding cropping patterns differed significantly under the three scenarios, and the groundwater levels improved significantly under the optimal hydraulic conditions compared to the existing condition. in dry years, the groundwater levels under the present pumping pattern and the optimal pumpage indicated that the non monsoon pumpage should not exceed the optimal pumpage in the absence of remedial measures in the basin. it is concluded that in order to ensure sustainable groundwater utilization in the basin, the optimal cropping pattern and pumping schedule should be adopted by the farmers.",1,1,0,1,0,0,0,0,0,1
Vandenbohede et al.,2009,Environmental Geology,sustainable groundwater extraction in coastal areas: a belgian example,"water extractions in coastal areas have to deal with salt water intrusion and lowering of hydraulic heads in valuable ecosystems. therefore, sustainable management of fresh water resources in these areas is crucial. this is illustrated here with two water extractions in the western belgian coastal plain which extract groundwater from a phreatic dune aquifer. one water extraction faced problems with salt water intrusion, while lowering of hydraulic heads was an issue for both. to remedy the salt water intrusion, it was found that decreasing the extraction rate was the only solution. to offset this and to increase hydraulic heads around both extractions, it was decided to artificially recharge the aquifer of the second extraction with tertiary treated wastewater. by taking these interventions, the combined production capacity of the water extractions was increased with 56% whereas 27% less water was extracted from the dune aquifer itself. extraction history and the effects of interventions are illustrated for both water extractions with water quality data and fresh water head observations. a more detailed insight in groundwater flow and fresh salt water distribution in the aquifer is provided by simulating the evolution of the water extractions with a 3d density dependent groundwater flow model.",1,1,0,1,0,1,0,0,0,1
Kourakos et al.,2009,Advances in Water Resources,pumping optimization of coastal aquifers based on evolutionary algorithms and surrogate modular neural network models,"pumping optimization of coastal aquifers involves complex numerical models. in problems with many decision variables, the computational burden for reaching the optimal solution can be excessive. artificial neural networks (ann) are flexible function approximators and have been used as surrogate models of complex numerical models in groundwater optimization. however, this approach is not practical in cases where the number of decision variables is large, because the required neural network structure can be very complex and difficult to train. the present study develops an optimization method based on modular neural networks, in which several small subnetwork modules, trained using a fast adaptive procedure, cooperate to solve a complex pumping optimization problem with many decision variables. the method utilizes the fact that salinity distribution in the aquifer, depends more on pumping from nearby wells rather than from distant ones. each subnetwork predicts salinity in only one monitoring well, and is controlled by relatively few pumping wells falling within certain control distance from the monitoring well. while the initial control area is radial, its shape is aclaptively improved using a hermite interpolation procedure. the modular neural subnetworks are trained adaptively during optimization, and it is possible to retrain only the ones not performing well. as optimization progresses, the subnetworks are adapted to maximize performance near the current search space of the optimization algorithm. the modular neural subnetwork models are combined with an efficient optimization algorithm and are applied to a real coastal aquifer in the greek island of santorini. the numerical code seawat was selected for solving the partial differential equations of flow and density dependent transport. the decision variables correspond to pumping rates from 34 wells. the modular subnetwork implementation resulted in significant reduction in cpu time and identified an even better solution than the original numerical model. (c) 2009 elsevier ltd. all rights reserved.",1,1,0,1,0,0,0,0,0,1
Hatipoglu et al.,2009,Hydrogeology Journal,characterization of the groundwater flow system in the hillside and coastal aquifers of the mersin tarsus region (turkey),"in the region between mersin and tarsus cities, located along the mediterranean sea coast in southern turkey, the demand for groundwater has increased dramatically as the available surfacewater supplies have already been developed. fundamental information is required to characterize the existing groundwater system in this area in order to establish a sustainable groundwater use policy. for this purpose, hydrochemical and environmental isotopic data were collected and integrated with available geological and hydrogeological information to develop a conceptual model of the system. results, backed up mainly by depleted stable isotope composition and infinitesimal tritium content, suggest that most of the groundwater along the coastal zone is supplied by the neighboring mountain belt while local precipitation has also contributes to aquifer recharge. the validation of the conceptual perspective by a steady state numerical groundwater flow model reveals that about 90% of the recharge to the aquifer system is supplied by the deep flow of karstic groundwater fed from the taurus mountains. monitoring of changes in the recharge regime of the mountain sector seems to be critical in establishing future groundwater use policies.",1,1,1,1,1,0,0,0,0,1
